Age,RSL,AgeError,RSLError,Type
1857.5,-0.382722222,1.25,0.020223749,TG
1865,-0.390888889,2.5,0.019072231,TG
1875,-0.375111111,2.5,0.038142642,TG
1895,-0.303650794,2.5,0.019982135,TG
1905,-0.290822222,2.5,0.029349238,TG
1915,-0.269722222,2.5,0.030725487,TG
1925,-0.252222222,2.5,0.021354157,TG
1935,-0.221422222,2.5,0.03133617,TG
1945,-0.167722222,2.5,0.021696134,TG
1955,-0.141022222,2.5,0.027995238,TG
1965,-0.112722222,2.5,0.02493213,TG
1975,-0.087522222,2.5,0.028374676,TG
1985,-0.078322222,2.5,0.03628728,TG
1995,-0.017222222,2.5,0.044899889,TG
2005,-4.03E-16,2.5,0.035421667,TG
2012,0.058977778,1.5,0.025791472,TG
1993,-0.140371575,6.5,0.110192582,Core
1987.5,-0.254080288,6.25,0.124550765,Core
1975,-0.181676765,5,0.097583607,Core
1965,-0.003389175,1.5,0.058900224,Core
1963.5,-0.013076329,1.25,0.076354924,Core
1956,-0.036359883,2,0.062764307,Core
1953.5,-0.053019077,2.25,0.056099224,Core
1950.5,-0.083266791,3.25,0.053949942,Core
1947,-0.089022593,4,0.063776298,Core
1942.5,-0.107102712,4.75,0.05825884,Core
1938.5,-0.123618226,4.25,0.06240374,Core
1935,-0.166858242,4,0.059062414,Core
1931.5,-0.155115053,4.25,0.058923966,Core
1924,-0.202930674,5.5,0.052748578,Core
1917.3875,-0.159802921,6.19375,0.112144739,Core
1911,-0.225296197,6,0.062860665,Core
1902.5,-0.234480191,7.75,0.065641438,Core
1896,-0.258056143,10,0.075778847,Core
1890.5,-0.293083559,12.25,0.059650723,Core
1876.8875,-0.294168867,14.44375,0.071274537,Core
1866.5,-0.35616241,13.25,0.036344702,Core
1856,-0.371129985,11,0.037778606,Core
1847.5,-0.394973102,9.25,0.039559903,Core
1841,-0.413326729,8,0.042062083,Core
1833.5,-0.433213307,6.75,0.040343142,Core
1797.5,-0.463391423,16.25,0.035023829,Core
1775.5,-0.451387011,22.25,0.062243163,Core
1759.5,-0.494071161,25.25,0.037702016,Core
1739,-0.528743375,25.5,0.03418584,Core
1711.5,-0.545667905,25.25,0.036482722,Core
1664.8875,-0.571225384,22.94375,0.035884422,Core
1650,-0.588742271,22,0.038177471,Core
1633.5,-0.620308461,19.75,0.019676979,Core
1607.3875,-1.277942462,15.19375,0.13825579,Core
1578,-0.729821777,16.5,0.082483418,Core
1555,-0.962007164,17.5,0.22931815,Core
1541,-0.916402829,17,0.167541016,Core
1529,-0.886595905,17.5,0.170700437,Core
1508,-0.876654247,21,0.142431948,Core
1484,-1.041690094,26.5,0.20795999,Core
1464.1125,-1.049424236,30.44375,0.175241356,Core
1445,-1.080441955,32.5,0.155614172,Core
1420,-1.058184093,36.5,0.095183291,Core
1390.6125,-1.046027684,37.19375,0.170773696,Core
1363,-0.973761339,35,0.182123113,Core
1340,-1.11325602,29.5,0.14221758,Core
1327.5,-1.05030759,24.75,0.158197708,Core
1323.5,-1.21881966,23.75,0.107929041,Core
1300.5,-1.222739698,14.25,0.152885628,Core
1230.5,-1.178859582,27.25,0.145665775,Core
1192.1125,-1.643094314,40.94375,0.118747015,Core
1161.3375,-1.547765492,50.33125,0.141039155,Core
1132.3875,-1.348492038,55.69375,0.146201103,Core
1100,-1.255400536,57.5,0.102976735,Core
1069.1125,-1.334861275,56.94375,0.120655705,Core
1033.5,-1.438511815,56.25,0.087104717,Core
993.5,-1.421348836,52.75,0.076952785,Core
948,-1.669302357,42.8875,0.115897687,Core
908.5,-1.407417183,35.25,0.090100555,Core
885.6125,-1.549131789,34.19375,0.102063112,Core
867,-1.697289034,36.5,0.117118742,Core
847,-1.57874615,37,0.176487408,Core
835,-1.488173976,38,0.079573707,Core
821,-1.516821661,39.5,0.089768033,Core
808.5,-1.591199674,38.75,0.090645299,Core
793.6125,-1.563637414,37.19375,0.08535454,Core
779,-1.944419222,38,0.099897473,Core
758.5,-1.595922612,37.75,0.080037879,Core
727.5,-1.611742065,43.25,0.083363579,Core
699.5,-1.623691573,45.75,0.085472003,Core
676.1125,-1.635140821,47.94375,0.091381715,Core
652,-1.662090333,48,0.095788748,Core
629.5,-1.709393063,47.75,0.119914587,Core
603,-1.718309897,45.5,0.084226657,Core
574.8875,-1.675766439,40.94375,0.078943728,Core
